country,product,kcal/country/year,kg_proteins/country/year,kg/country/year,energy_weight_ratio,prot_weight_ratio
Angola,Poissons Pelagiques,109721920000.0,15204323.199999996,151592320.0,723.7960339943343,0.10029745042492914
Angola,"Poissons Marins, Autres",15674560000.0,2586302.4,24478080.0,640.3508771929825,0.1056578947368421
Angola,Blé,2241462080000.0,67949217.60000001,874339840.0,2563.6051080550096,0.07771488212180748
Angola,Riz (Eq Blanchi),642656960000.0,12226156.8,174352639.99999997,3685.9605911330054,0.07012315270935962
Angola,Maïs,2649000640000.0,69751792.0,833113600.0,3179.639175257732,0.08372422680412371
Angola,Millet,86210080000.0,1410710.3999999997,30275520.0,2847.517730496454,0.04659574468085105
Angola,Manioc,4388876800000.0,36991961.6,4249308800.0,1032.844871147044,0.008705406771096514
Angola,Pommes de Terre,313491200000.0,6583315.199999998,437814080.0,716.037273173124,0.015036782736635602
Angola,Patates douces,1011009120000.0,13715240.0,1055778240.0,957.5960951799877,0.012990644702054098
Angola,Miel,70535520000.0,78372.8,23404480.0,3013.761467889908,0.0033486238532110094
Angola,Haricots,634819680000.0,40988974.4,192389120.0,3299.6651785714284,0.21305245535714284
Angola,Soja,39186400000.0,4232131.2,11165440.0,3509.6153846153848,0.37903846153846155
Angola,Arachides Decortiquees,258630240000.0,10815446.4,46594240.0,5550.6912442396315,0.23211981566820278
Angola,Coco (Incl Coprah),7837280000.0,78372.8,3220800.0,2433.3333333333335,0.024333333333333335
Angola,Sésame,15674560000.0,470236.8,2791360.0,5615.384615384615,0.16846153846153847
Angola,Huil Plantes Oleif Autr,133233760000.0,78372.8,15245120.0,8739.43661971831,0.005140845070422536
Angola,Tomates,23511840000.0,1175591.9999999998,101562560.0,231.50105708245243,0.011575052854122619
Angola,"Légumes, Autres",274304800000.0,15125950.4,1343932480.0,204.1060872343825,0.011254992810353092
Angola,"Agrumes, Autres",78372800000.0,1097219.2000000002,273982720.0,286.05015673981194,0.004004702194357368
Angola,Bananes,689680640000.0,10737073.6,1154334720.0,597.4702380952381,0.009301525297619047
Angola,Pommes,7837280000.0,78372.8,21472000.0,365.0,0.00365
Angola,Ananas,195932000000.0,1175591.9999999998,431372480.0,454.20607267297163,0.0027252364360378293
Angola,"Fruits, Autres",23511840000.0,235118.4,50029760.0,469.9570815450644,0.004699570815450644
Angola,Café,7837280000.0,862100.7999999998,13097920.0,598.360655737705,0.06581967213114753
Angola,Feve de Cacao,23511840000.0,235118.4,3006080.0,7821.428571428572,0.07821428571428571
Angola,Bière,525097760000.0,6034705.6000000015,1214456320.0,432.37270155586987,0.004969059405940595
Angola,Boissons Fermentés,188094720000.0,626982.4,404317760.0,465.2150823154541,0.0015507169410515136
Angola,Aliments pour enfants,23511840000.0,862100.7999999998,5368000.0,4380.0,0.16059999999999997
Antigua-et-Barbuda,Viande de Bovins,1839600000.0,185931.0,1117800.0,1645.7326892109502,0.1663365539452496
Antigua-et-Barbuda,Viande d'Ovins/Caprins,229950000.0,20038.5,146700.0,1567.484662576687,0.13659509202453987
Antigua-et-Barbuda,Viande de Suides,2003850000.0,110047.5,1029600.0,1946.2412587412587,0.10688374125874125
Antigua-et-Barbuda,Viande de Volailles,8245350000.0,624150.0,5293800.0,1557.5484529071744,0.11790207412444746
Antigua-et-Barbuda,"Viande, Autre",98550000.0,15111.0,66600.0,1479.7297297297298,0.22689189189189188
Antigua-et-Barbuda,Abats Comestible,262800000.0,45004.5,246600.0,1065.6934306569342,0.1825
Antigua-et-Barbuda,"Beurre, Ghee",1149750000.0,985.5,158400.0,7258.522727272727,0.006221590909090909
Antigua-et-Barbuda,Crème,262800000.0,2956.4999999999995,126900.0,2070.921985815603,0.02329787234042553
Antigua-et-Barbuda,Graisses Animales Crue,1084050000.0,985.5,146700.0,7389.570552147239,0.006717791411042945
Antigua-et-Barbuda,Oeufs,492750000.0,39091.5,389700.0,1264.434180138568,0.10031177829099307
Antigua-et-Barbuda,Lait - Excl Beurre,7358400000.0,397156.5,11136600.0,660.7402618393405,0.03566227573945369
Antigua-et-Barbuda,Poissons Eau Douce,65700000.0,7555.5,66600.0,986.4864864864865,0.11344594594594594
Antigua-et-Barbuda,Perciform,328500000.0,65371.5,758700.0,432.97746144721236,0.08616251482799525
Antigua-et-Barbuda,Poissons Pelagiques,722700000.0,89352.00000000001,833400.0,867.170626349892,0.10721382289416849
Antigua-et-Barbuda,"Poissons Marins, Autres",1084050000.0,189216.0,1621800.0,668.42397336293,0.11667036625971143
Antigua-et-Barbuda,Crustacés,229950000.0,47303.99999999999,563400.0,408.14696485623006,0.08396166134185302
Antigua-et-Barbuda,Cephalopodes,32850000.0,3942.0,27000.0,1216.6666666666667,0.146
